,road,id,model_type,name,lat,lon,length,condition
680,N1,1000680,link,link,22.156,92.0701104,267.99999999997226,
681,N1,1000681,bridge,bridge,22.1509722,92.0696938,663.9999999999873,A
682,N1,1000682,link,link,22.1508889,92.069666,9.000000000014552,
683,N1,1000683,link,link,22.1491386,92.0696104,206.00000000001728,
684,N1,1000684,link,link,22.1406663,92.0697771,950.999999999965,
685,N1,1000685,bridge,bridge,22.1379163,92.0698882,302.99999999999727,A
686,N1,1000686,bridge,bridge,22.1334441,92.0700827,501.0000000000332,A
687,N1,1000687,link,link,22.1320549,92.0701938,161.00000000000136,
688,N1,1000688,link,link,22.1308049,92.070416,118.99999999997135,
689,N1,1000689,link,link,22.1304716,92.0704993,61.00000000003547,
690,N1,1000690,link,link,22.1285271,92.0708604,223.99999999998954,
691,N1,1000691,link,link,22.1282771,92.070916,31.00000000000591,
692,N1,1000692,link,link,22.1240271,92.0715827,484.9999999999568,
693,N1,1000693,bridge,bridge,22.123666,92.0716382,10.000000000047748,B
694,N1,1000694,bridge,bridge,22.1208049,92.0719438,388.99999999995316,A
695,N1,1000695,link,link,22.1151944,92.072416,600.9999999999991,
696,N1,1000696,bridge,bridge,22.1133056,92.0726938,282.0000000000391,A
697,N1,1000697,link,link,22.1062222,92.0738049,717.9999999999609,
698,N1,1000698,link,link,22.1021667,92.0740549,558.0000000000496,
699,N1,1000699,bridge,bridge,22.0993052,92.0743604,111.99999999996635,A
700,N1,1000700,link,link,22.0977497,92.0750271,250.0,
701,N1,1000701,link,link,22.097583,92.0752216,30.00000000002956,
702,N1,1000702,bridge,bridge,22.0942219,92.0798604,611.9999999999663,A
703,N1,1000703,link,link,22.092833,92.0812493,222.00000000003683,
704,N1,1000704,link,link,22.0876941,92.088583,955.9999999999604,
705,N1,1000705,bridge,bridge,22.0844441,92.0924997,545.9999999999923,A
706,N1,1000706,link,link,22.0826104,92.0958886,418.00000000000637,
707,N1,1000707,link,link,22.081166,92.0982774,300.00000000001137,
708,N1,1000708,link,link,22.0752216,92.1001944,699.9999999999886,
709,N1,1000709,bridge,bridge,22.0699438,92.1038333,704.0000000000077,A
710,N1,1000710,link,link,22.0698049,92.104,33.00000000001546,
711,N1,1000711,link,link,22.0686938,92.10525,177.00000000002092,
712,N1,1000712,bridge,bridge,22.0641667,92.107,565.9999999999741,A
713,N1,1000713,link,link,22.0638611,92.1070833,45.000000000015916,
714,N1,1000714,bridge,bridge,22.0605556,92.1078056,379.99999999999545,A
715,N1,1000715,link,link,22.0604722,92.1078611,9.000000000014552,
716,N1,1000716,bridge,bridge,22.0568611,92.1090833,423.0000000000018,A
717,N1,1000717,bridge,bridge,22.0522778,92.1091111,514.9999999999864,A
718,N1,1000718,link,link,22.0516944,92.1090278,62.00000000001182,
719,N1,1000719,bridge,bridge,22.0486386,92.1082222,329.9999999999841,A
720,N1,1000720,link,link,22.0449719,92.1078333,438.99999999996453,
721,N1,1000721,bridge,bridge,22.0443052,92.1073056,95.00000000002728,A
722,N1,1000722,link,link,22.0434441,92.1063056,136.0000000000241,
723,N1,1000723,bridge,bridge,22.0379163,92.104,694.9999999999932,B
724,N1,1000724,link,link,22.037083,92.1039722,96.99999999997999,
725,N1,1000725,bridge,bridge,22.0320827,92.1041667,567.0000000000073,A
726,N1,1000726,bridge,bridge,22.028916,92.1035556,377.9999999999859,A
727,N1,1000727,link,link,22.0284438,92.1032778,55.00000000000682,
728,N1,1000728,bridge,bridge,22.0283327,92.1031944,19.000000000005457,A
729,N1,1000729,link,link,22.020666,92.1015556,899.0000000000009,
730,N1,1000730,bridge,bridge,22.0205549,92.1015,14.000000000010004,A
731,N1,1000731,link,link,22.0153056,92.094833,923.0000000000018,
732,N1,1000732,bridge,bridge,22.0077222,92.0927497,930.0000000000068,A
733,N1,1000733,link,link,22.0074167,92.0924997,48.99999999997817,
734,N1,1000734,bridge,bridge,22.0039167,92.0904163,464.999999999975,A
735,N1,1000735,bridge,bridge,21.9999441,92.0880274,540.0000000000205,A
736,N1,1000736,link,link,21.999833,92.0879997,16.000000000019554,
737,N1,1000737,bridge,bridge,21.9951108,92.0873608,546.9999999999686,A
738,N1,1000738,bridge,bridge,21.9950552,92.0872774,16.999999999995907,A
739,N1,1000739,bridge,bridge,21.9913886,92.086083,434.0000000000259,A
740,N1,1000740,link,link,21.9908886,92.0859163,60.000000000002274,
741,N1,1000741,link,link,21.9907219,92.0858608,19.000000000005457,
742,N1,1000742,bridge,bridge,21.9893886,92.085333,159.99999999996817,A
743,N1,1000743,bridge,bridge,21.9862219,92.0835274,406.0000000000059,A
744,N1,1000744,link,link,21.9860552,92.0834441,24.00000000000091,
745,N1,1000745,link,link,21.9829716,92.0817771,389.00000000001,
746,N1,1000746,bridge,bridge,21.9811104,92.0800271,264.99999999998636,A
747,N1,1000747,link,link,21.9810549,92.0799438,25.000000000034106,
748,N1,1000748,bridge,bridge,21.9798882,92.0778327,253.99999999996226,A
749,N1,1000749,bridge,bridge,21.9789716,92.0747493,342.0000000000414,A
750,N1,1000750,link,link,21.9781104,92.0739993,132.99999999998136,
751,N1,1000751,link,link,21.9729438,92.0670827,1016.9999999999959,
752,N1,1000752,link,link,21.9720827,92.0657222,170.99999999999227,
753,N1,1000753,link,link,21.967666,92.0635,564.0000000000214,
754,N1,1000754,link,link,21.9654167,92.0625556,264.99999999998636,
755,N1,1000755,bridge,bridge,21.9620278,92.0633611,254.99999999999545,A
756,N1,1000756,link,link,21.9618611,92.0634444,21.000000000015007,
757,N1,1000757,bridge,bridge,21.9590833,92.0653889,372.0000000000141,A
758,N1,1000758,link,link,21.9578333,92.0665833,351.99999999997544,
759,N1,1000759,bridge,bridge,21.9569167,92.0673327,84.99999999997954,A
760,N1,1000760,bridge,bridge,21.9516111,92.0678604,521.000000000015,A
761,N1,1000761,link,link,21.9514444,92.0678604,21.000000000015007,
762,N1,1000762,link,link,21.9489441,92.0675271,302.99999999999727,
763,N1,1000763,bridge,bridge,21.9446663,92.0668049,461.00000000001273,A
764,N1,1000764,link,link,21.940583,92.0643889,538.9999999999873,
765,N1,1000765,bridge,bridge,21.9354441,92.0623056,615.0000000000091,A
766,N1,1000766,bridge,bridge,21.9333608,92.0614167,252.9999999999859,A
767,N1,1000767,link,link,21.9322216,92.06075,156.99999999998226,
768,N1,1000768,bridge,bridge,21.931666,92.0603611,78.00000000003138,C
769,N1,1000769,bridge,bridge,21.9296104,92.0592778,264.00000000001,A
770,N1,1000770,link,link,21.9235827,92.0585,672.999999999945,
771,N1,1000771,bridge,bridge,21.9177216,92.0597778,585.0000000000364,A
772,N1,1000772,bridge,bridge,21.9160833,92.0601389,302.99999999999727,A
773,N1,1000773,link,link,21.9148333,92.0604722,146.99999999999136,
774,N1,1000774,bridge,bridge,21.9128611,92.0606667,223.0000000000132,A
775,N1,1000775,bridge,bridge,21.9083889,92.0605278,510.99999999996726,A
776,N1,1000776,link,link,21.9059444,92.0609167,270.00000000003865,
777,N1,1000777,link,link,21.9031667,92.0611667,307.9999999999927,
778,N1,1000778,link,link,21.8969997,92.0612222,564.9999999999977,
779,N1,1000779,link,link,21.89646793301105,92.06108684571824,62.99999999998818,
780,N1,1000780,bridge,bridge,21.8908886,92.0596667,661.0000000000014,C
781,N1,1000781,link,link,21.8883886,92.0600833,281.99999999998226,
782,N1,1000782,bridge,bridge,21.8810271,92.0589722,833.0000000000268,A
783,N1,1000783,link,link,21.879416,92.0590833,178.99999999997362,
784,N1,1000784,bridge,bridge,21.874916,92.0591111,508.0000000000382,A
785,N1,1000785,link,link,21.8704993,92.0591389,500.99999999997635,
786,N1,1000786,link,link,21.8625,92.0595,906.9999999999823,
787,N1,1000787,link,link,21.8616389,92.0596111,93.00000000001774,
788,N1,1000788,bridge,bridge,21.8597222,92.0602778,221.99999999998,A
789,N1,1000789,link,link,21.8592222,92.0604444,59.00000000002592,
790,N1,1000790,link,link,21.85275,92.0609722,723.9999999999895,
791,N1,1000791,bridge,bridge,21.8526111,92.0609722,21.000000000015007,B
792,N1,1000792,bridge,bridge,21.8505,92.0609444,228.999999999985,B
793,N1,1000793,link,link,21.8441386,92.0628056,764.9999999999864,
794,N1,1000794,bridge,bridge,21.842583,92.0638611,213.00000000002228,A
795,N1,1000795,bridge,bridge,21.8399719,92.0651389,322.00000000000273,A
796,N1,1000796,link,link,21.8363052,92.067416,482.00000000002774,
797,N1,1000797,bridge,bridge,21.8336663,92.0684438,313.99999999996453,D
798,N1,1000798,link,link,21.8322216,92.0689993,170.99999999999227,
799,N1,1000799,link,link,21.8280827,92.0712771,482.00000000002774,
800,N1,1000800,link,link,21.8256938,92.0723882,293.9999999999827,
801,N1,1000801,link,link,21.8252771,92.0725549,48.00000000000182,
802,N1,1000802,link,link,21.8208882,92.0741104,516.9999999999959,
803,N1,1000803,link,link,21.8195271,92.0741382,149.0000000000009,
804,N1,1000804,link,link,21.8179716,92.073916,180.99999999998317,
805,N1,1000805,link,link,21.8119444,92.0776382,831.0000000000173,
806,N1,1000806,link,link,21.8045278,92.077166,843.9999999999941,
807,N1,1000807,bridge,bridge,21.8031389,92.0772493,156.0000000000059,B
808,N1,1000808,link,link,21.8030278,92.0772771,14.999999999986358,
809,N1,1000809,link,link,21.8029167,92.0772771,10.000000000047748,
810,N1,1000810,link,link,21.7941941,92.0783882,992.999999999995,
811,N1,1000811,bridge,bridge,21.7873886,92.0788882,774.9999999999773,A
812,N1,1000812,bridge,bridge,21.7864997,92.0790271,100.00000000002274,A
813,N1,1000813,link,link,21.7853052,92.079166,137.9999999999768,
814,N1,1000814,link,link,21.7836941,92.0792771,180.00000000000682,
815,N1,1000815,link,link,21.7782493,92.0840552,819.0000000000168,
816,N1,1000816,bridge,bridge,21.7776382,92.0843886,79.99999999998408,A
817,N1,1000817,bridge,bridge,21.7758049,92.0851108,224.9999999999659,A
818,N1,1000818,link,link,21.7737216,92.0840552,195.00000000005002,
819,N1,1000819,bridge,bridge,21.7732771,92.0837219,134.9999999999909,A
820,N1,1000820,link,link,21.7713049,92.0818327,293.00000000000637,
821,N1,1000821,bridge,bridge,21.7711938,92.0816382,24.00000000000091,A
822,N1,1000822,link,link,21.7693327,92.079416,310.9999999999786,
823,N1,1000823,link,link,21.7664722,92.0767771,428.9999999999736,
824,N1,1000824,link,link,21.7646389,92.075916,236.00000000004684,
825,N1,1000825,link,link,21.7596389,92.0764993,574.9999999999886,
826,N1,1000826,link,link,21.7546944,92.0770271,552.9999999999973,
827,N1,1000827,link,link,21.7466386,92.080916,1002.0000000000095,
828,N1,1000828,bridge,bridge,21.7392497,92.0828604,865.0000000000091,C
829,N1,1000829,link,link,21.738083,92.0834163,140.9999999999627,
830,N1,1000830,bridge,bridge,21.7376386,92.0834719,50.99999999998772,A
831,N1,1000831,bridge,bridge,21.7315827,92.0838052,680.0000000000068,A
832,N1,1000832,bridge,bridge,21.7299993,92.083833,181.00000000004002,A
833,N1,1000833,link,link,21.7296382,92.083833,38.99999999998727,
834,N1,1000834,link,link,21.7290271,92.0838608,69.00000000001683,
835,N1,1000835,bridge,bridge,21.7229438,92.0834719,688.9999999999645,C
836,N1,1000836,link,link,21.7215549,92.0830827,163.0000000000109,
837,N1,1000837,link,link,21.7204716,92.0822493,148.00000000002456,
838,N1,1000838,bridge,bridge,21.7169438,92.0824993,419.9999999999591,C
839,N1,1000839,link,link,21.7120833,92.0821104,612.9999999999995,
840,N1,1000840,link,link,21.7080278,92.0800549,526.9999999999868,
841,N1,1000841,link,link,21.7040556,92.0788604,489.00000000003274,
842,N1,1000842,link,link,21.7013611,92.0783882,310.0000000000023,
843,N1,1000843,link,link,21.6957497,92.0805827,697.9999999999791,
844,N1,1000844,link,link,21.6868608,92.0800827,1012.0000000000005,
845,N1,1000845,link,link,21.678416,92.0770827,1000.0,
846,N1,1000846,bridge,bridge,21.6747493,92.0766104,417.00000000003,A
847,N1,1000847,link,link,21.6742216,92.0765549,61.99999999995498,
848,N1,1000848,bridge,bridge,21.6704438,92.0762771,423.0000000000018,A
849,N1,1000849,link,link,21.6695549,92.0760549,34.00000000004866,
850,N1,1000850,link,link,21.6688327,92.0759438,96.00000000000364,
851,N1,1000851,bridge,bridge,21.6618889,92.074916,765.9999999999627,A
852,N1,1000852,link,link,21.6606111,92.0750827,143.0000000000291,
853,N1,1000853,bridge,bridge,21.6590556,92.0751382,175.99999999998772,A
854,N1,1000854,link,link,21.653,92.0751382,55.999999999983174,
855,N1,1000855,link,link,21.6518056,92.0737771,783.9999999999918,
856,N1,1000856,bridge,bridge,21.6497219,92.0733049,237.0000000000232,A
857,N1,1000857,link,link,21.6491941,92.0733049,62.00000000001182,
858,N1,1000858,bridge,bridge,21.649083,92.0733049,17.99999999997226,A
859,N1,1000859,bridge,bridge,21.6468052,92.0733604,251.0000000000332,A
860,N1,1000860,link,link,21.6428608,92.0732216,447.00000000000273,
861,N1,1000861,link,link,21.634833,92.0770271,1017.9999999999723,
862,N1,1000862,link,link,21.6259716,92.0773882,1028.00000000002,
863,N1,1000863,bridge,bridge,21.6213604,92.0724438,733.9999999999804,A
864,N1,1000864,link,link,21.6197771,92.0705271,266.00000000001955,
865,N1,1000865,bridge,bridge,21.617166,92.0679993,399.0000000000009,A
866,N1,1000866,link,link,21.6167771,92.0678049,50.99999999998772,
867,N1,1000867,link,link,21.6150556,92.0667771,58.99999999996908,
868,N1,1000868,link,link,21.61225,92.0652222,115.0000000000091,
869,N1,1000869,link,link,21.610086825,92.06399479375,140.0000000000432,
870,N1,1000870,link,link,21.6073056,92.0624167,179.99999999994998,
871,N1,1000871,link,link,21.6039167,92.0619444,797.0000000000255,
872,N1,1000872,link,link,21.603029505025123,92.061920540201,57.00000000001637,
873,N1,1000873,link,link,21.5977219,92.0617778,341.0000000000082,
874,N1,1000874,link,link,21.5951108,92.0611944,601.9999999999754,
875,N1,1000875,bridge,bridge,21.59379884019608,92.06161870980392,81.99999999999363,A
876,N1,1000876,bridge,bridge,21.588583,92.0633056,326.0000000000218,A
877,N1,1000877,link,link,21.5875274,92.0650278,503.99999999996226,
878,N1,1000878,bridge,bridge,21.5861941,92.0650278,100.00000000002274,A
879,N1,1000879,bridge,bridge,21.584833,92.0652222,168.00000000000637,A
880,N1,1000880,link,link,21.5791938,92.0668049,730.9999999999945,
881,N1,1000881,bridge,bridge,21.5769993,92.0697216,129.0000000000191,A
882,N1,1000882,link,link,21.5717216,92.0718049,840.9999999999513,
883,N1,1000883,bridge,bridge,21.564,92.0702493,694.0000000000168,A
884,N1,1000884,link,link,21.5629444,92.0700271,326.0000000000218,
885,N1,1000885,link,link,21.5618056,92.0696382,134.9999999999909,
886,N1,1000886,link,link,21.5608333,92.0692771,120.9999999999809,
887,N1,1000887,link,link,21.5555,92.0679716,746.0000000000377,
888,N1,1000888,link,link,21.5553056,92.067916,195.99999999996953,
889,N1,1000889,link,link,21.5548889,92.0678049,52.00000000002092,
890,N1,1000890,link,link,21.5484719,92.0670827,423.0000000000018,
891,N1,1000891,link,link,21.548083,92.0670271,45.99999999999227,
892,N1,1000892,link,link,21.546583,92.0668327,182.99999999999272,
893,N1,1000893,link,link,21.538333,92.0639722,887.0000000000005,
894,N1,1000894,link,link,21.5294993,92.0650278,1016.0000000000196,
895,N1,1000895,bridge,bridge,21.5283049,92.0650833,32.99999999995862,B
896,N1,1000896,bridge,bridge,21.5264716,92.0651944,212.00000000004593,B
897,N1,1000897,bridge,bridge,21.5234716,92.0656111,343.9999999999941,B
898,N1,1000898,link,link,21.5233049,92.0656389,19.99999999998181,
899,N1,1000899,bridge,bridge,21.5220827,92.0658611,139.00000000001,B
900,N1,1000900,link,link,21.520666,92.0661667,161.99999999997772,
901,N1,1000901,link,link,21.5161111,92.068166,555.0000000000068,
902,N1,1000902,link,link,21.5126944,92.0698604,423.9999999999782,
903,N1,1000903,link,link,21.5125556,92.0699438,27.000000000043656,
904,N1,1000904,bridge,bridge,21.5083889,92.0717493,512.0000000000005,A
905,N1,1000905,bridge,bridge,21.5069722,92.072916,204.00000000000773,A
906,N1,1000906,link,link,21.505,92.0745549,283.9999999999918,
907,N1,1000907,bridge,bridge,21.4974719,92.0765549,911.0000000000014,A
908,N1,1000908,link,link,21.4968608,92.0769438,88.99999999999864,
909,N1,1000909,bridge,bridge,21.4964441,92.077166,48.00000000000182,A
910,N1,1000910,link,link,21.4901941,92.0818049,904.9999999999727,
911,N1,1000911,link,link,21.4870274,92.0898052,985.99999999999,
912,N1,1000912,bridge,bridge,21.4851386,92.091333,274.0000000000009,A
913,N1,1000913,link,link,21.4793604,92.0938886,700.0000000000455,
914,N1,1000914,bridge,bridge,21.4767771,92.0957497,357.99999999994725,A
915,N1,1000915,bridge,bridge,21.4750549,92.0971663,250.0,A
916,N1,1000916,link,link,21.4713604,92.0997497,522.0000000000482,
917,N1,1000917,bridge,bridge,21.4712216,92.0998886,20.999999999958163,A
918,N1,1000918,link,link,21.4708049,92.1002222,59.00000000002592,
919,N1,1000919,bridge,bridge,21.4667216,92.1025,533.9999999999918,A
920,N1,1000920,link,link,21.4635833,92.1029167,367.00000000001864,
921,N1,1000921,link,link,21.4564722,92.1038056,968.9999999999941,
922,N1,1000922,bridge,bridge,21.4545,92.10075,379.99999999999545,A
923,N1,1000923,bridge,bridge,21.4512778,92.0994441,421.9999999999686,A
924,N1,1000924,link,link,21.4496108,92.0994997,222.00000000003683,
925,N1,1000925,link,link,21.4494719,92.0995274,57.00000000001637,
926,N1,1000926,bridge,bridge,21.443833,92.1014167,597.9999999999563,A
927,N1,1000927,bridge,bridge,21.4421663,92.1008611,223.99999999998954,A
928,N1,1000928,link,link,21.4417497,92.1006667,56.00000000004002,
929,N1,1000929,link,link,21.4413608,92.1003611,62.00000000001182,
930,N1,1000930,bridge,bridge,21.4375552,92.0984997,466.99999999998454,C
931,N1,1000931,bridge,bridge,21.434583,92.0973886,343.9999999999941,A
932,N1,1000932,link,link,21.4334441,92.0969997,149.0000000000009,
933,N1,1000933,bridge,bridge,21.4310271,92.0961941,284.99999999996817,C
934,N1,1000934,bridge,bridge,21.4290271,92.0954997,229.00000000004184,C
935,N1,1000935,link,link,21.4284993,92.0951941,79.00000000000773,
936,N1,1000936,bridge,bridge,21.4283604,92.0941663,112.99999999999955,C
937,N1,1000937,link,link,21.4281104,92.0914719,283.9999999999918,
938,N1,1000938,bridge,bridge,21.427916,92.0896108,190.99999999997408,C
939,N1,1000939,link,link,21.4278882,92.0893886,25.000000000034106,
940,N1,1000940,bridge,bridge,21.4271104,92.084083,560.9999999999786,C
941,N1,1000941,link,link,21.4269716,92.0821104,206.99999999999363,
942,N1,1000942,bridge,bridge,21.4267771,92.0804716,175.99999999998772,A
943,N1,1000943,bridge,bridge,21.4264716,92.0767771,384.00000000001455,A
944,N1,1000944,link,link,21.4267216,92.0730827,403.99999999999636,
945,N1,1000945,bridge,bridge,21.427416,92.0707216,261.0000000000241,B
946,N1,1000946,link,link,21.4276938,92.0643611,738.9999999999759,
947,N1,1000947,bridge,bridge,21.4270827,92.0632778,131.00000000002865,A
948,N1,1000948,bridge,bridge,21.4273327,92.0608333,262.9999999999768,A
949,N1,1000949,bridge,bridge,21.4278882,92.0576667,336.9999999999891,D
950,N1,1000950,bridge,bridge,21.4280549,92.0554167,237.99999999999955,A
951,N1,1000951,link,link,21.4280827,92.0551389,28.999999999996362,
952,N1,1000952,bridge,bridge,21.4280549,92.0529444,232.00000000002774,A
953,N1,1000953,bridge,bridge,21.4274993,92.0484441,462.99999999996544,A
954,N1,1000954,link,link,21.4275271,92.0483886,18.000000000029104,
955,N1,1000955,link,link,21.4287771,92.0461941,271.99999999999136,
956,N1,1000956,bridge,bridge,21.4295549,92.044083,233.99999999998045,A
957,N1,1000957,bridge,bridge,21.4298049,92.0392774,500.0,C
958,N1,1000958,link,link,21.4296938,92.0368608,254.0000000000191,
959,N1,1000959,bridge,bridge,21.4289716,92.0348608,223.99999999998954,C
960,N1,1000960,bridge,bridge,21.4294438,92.0316104,362.0000000000232,B
961,N1,1000961,link,link,21.4300827,92.0304716,140.9999999999627,
962,N1,1000962,bridge,bridge,21.430416,92.0293049,133.0000000000382,C
963,N1,1000963,link,link,21.430166,92.0283604,105.99999999999454,
964,N1,1000964,bridge,bridge,21.4298882,92.0279716,45.99999999999227,A
965,N1,1000965,bridge,bridge,21.4262493,92.0235827,612.9999999999995,B
966,N1,1000966,link,link,21.4258604,92.023166,64.99999999999773,
967,N1,1000967,link,link,21.4258049,92.0232493,13.000000000033651,
968,N1,1000968,bridge,bridge,21.4225549,92.0274438,581.9999999999936,A
969,N1,1000969,bridge,bridge,21.4220827,92.0278604,70.99999999996953,A
970,N1,1000970,link,link,21.4199716,92.0302493,326.0000000000218,
971,N1,1000971,bridge,bridge,21.4191104,92.032416,265.9999999999627,A
972,N1,1000972,bridge,bridge,21.4165,92.0353052,449.0000000000123,B
973,N1,1000973,bridge,bridge,21.4156389,92.0367219,182.00000000001637,C
974,N1,1000974,link,link,21.4150556,92.037833,134.9999999999909,
975,N1,1000975,bridge,bridge,21.4135833,92.0393886,235.00000000001364,A
976,N1,1000976,bridge,bridge,21.4120556,92.039583,367.00000000001864,A
977,N1,1000977,bridge,bridge,21.4115,92.0438052,171.99999999996862,C
978,N1,1000978,link,link,21.4111667,92.0441108,48.00000000000182,
979,N1,1000979,bridge,bridge,21.4103056,92.0453052,163.0000000000109,A
980,N1,1000980,link,link,21.4101111,92.0458052,57.00000000001637,
981,N1,1000981,bridge,bridge,21.41025,92.0480552,242.999999999995,C
982,N1,1000982,bridge,bridge,21.4103333,92.0508333,324.99999999998863,A
983,N1,1000983,bridge,bridge,21.4094167,92.0531944,272.9999999999677,C
984,N1,1000984,link,link,21.4090833,92.05475,180.00000000000682,
985,N1,1000985,bridge,bridge,21.4079722,92.056,210.00000000003638,A
986,N1,1000986,bridge,bridge,21.4067222,92.0570556,168.99999999998272,A
987,N1,1000987,bridge,bridge,21.4058611,92.0594167,293.00000000000637,B
988,N1,1000988,link,link,21.4040556,92.0619722,267.99999999997226,
989,N1,1000989,bridge,bridge,21.4039167,92.0628333,157.0000000000391,C
990,N1,1000990,bridge,bridge,21.4008889,92.0658611,480.99999999999454,C
991,N1,1000991,bridge,bridge,21.3986941,92.0665556,262.9999999999768,C
992,N1,1000992,link,link,21.398583,92.0665833,14.999999999986358,
993,N1,1000993,bridge,bridge,21.3971663,92.0668882,165.99999999999682,C
994,N1,1000994,link,link,21.3969719,92.066916,19.000000000005457,
995,N1,1000995,bridge,bridge,21.393333,92.068166,435.0000000000023,C
996,N1,1000996,bridge,bridge,21.3891108,92.0686938,484.0000000000373,C
997,N1,1000997,link,link,21.3889441,92.0688049,17.99999999997226,
998,N1,1000998,link,link,21.3885274,92.0692771,57.00000000001637,
999,N1,1000999,bridge,bridge,21.3873052,92.0697771,147.9999999999677,D
1000,N1,1001000,bridge,bridge,21.3858886,92.0704438,176.00000000004457,B
1001,N1,1001001,bridge,bridge,21.384583,92.0704993,152.99999999996317,B
1002,N1,1001002,bridge,bridge,21.3839441,92.0705827,76.00000000002183,B
1003,N1,1001003,bridge,bridge,21.3826938,92.0710271,151.9999999999868,C
1004,N1,1001004,bridge,bridge,21.3813049,92.0710827,168.00000000000637,B
1005,N1,1001005,bridge,bridge,21.3811104,92.0710827,29.999999999972715,B
1006,N1,1001006,link,link,21.3796104,92.0706104,179.00000000003047,
1007,N1,1001007,bridge,bridge,21.378916,92.0703327,91.00000000000819,B
1008,N1,1001008,bridge,bridge,21.3775827,92.0703604,153.99999999999636,B
1009,N1,1001009,bridge,bridge,21.3773882,92.0706104,38.99999999998727,B
1010,N1,1001010,bridge,bridge,21.3762216,92.0718049,182.00000000001637,B
1011,N1,1001011,bridge,bridge,21.3752493,92.0727771,164.99999999996362,B
